,0
"(0.975, 0.9752]",0.0
"(0.9752, 0.9755]",0.0
"(0.9755, 0.9758]",0.0
"(0.9758, 0.976]",0.0
"(0.976, 0.9762]",0.0
"(0.9762, 0.9765]",0.0
"(0.9765, 0.9768]",0.0
"(0.9768, 0.977]",0.0
"(0.977, 0.9772]",0.0
"(0.9772, 0.9775]",0.0
"(0.9775, 0.9778]",0.0
"(0.9778, 0.978]",0.0
"(0.978, 0.9782]",0.0
"(0.9782, 0.9785]",0.0
"(0.9785, 0.9788]",0.0
"(0.9788, 0.979]",0.0
"(0.979, 0.9792]",0.0
"(0.9792, 0.9795]",0.0
"(0.9795, 0.9798]",0.0
"(0.9798, 0.98]",0.0
"(0.98, 0.9802]",0.0
"(0.9802, 0.9805]",0.0
"(0.9805, 0.9808]",0.0
"(0.9808, 0.981]",0.0
"(0.981, 0.9812]",0.0
"(0.9812, 0.9815]",0.0
"(0.9815, 0.9818]",0.0
"(0.9818, 0.982]",0.08263327927990857
"(0.982, 0.9822]",0.0
"(0.9822, 0.9825]",0.0
"(0.9825, 0.9828]",0.0
"(0.9828, 0.983]",0.21007431927039677
"(0.983, 0.9832]",0.7532808170184685
"(0.9832, 0.9835]",0.09228215172082826
"(0.9835, 0.9838]",0.20858633243943184
"(0.9838, 0.984]",0.28573960552902944
"(0.984, 0.9842]",0.09524653517634316
"(0.9842, 0.9845]",0.17198771823225475
"(0.9845, 0.9848]",0.21513891779475236
"(0.9848, 0.985]",0.29028686652322666
"(0.985, 0.9852]",0.0
"(0.9852, 0.9855]",0.1925938761879088
"(0.9855, 0.9858]",0.840184811968935
"(0.9858, 0.986]",0.4448797313770049
"(0.986, 0.9862]",0.2176953998356357
"(0.9862, 0.9865]",0.9231277891681262
"(0.9865, 0.9868]",0.33211023242535553
"(0.9868, 0.987]",0.32223863543125286
"(0.987, 0.9872]",0.9524324109403445
"(0.9872, 0.9875]",0.5214536019688408
"(0.9875, 0.9877]",0.7707677410993847
"(0.9877, 0.988]",1.519063482580533
"(0.988, 0.9882]",0.4995271136638121
"(0.9882, 0.9885]",0.727241147028379
"(0.9885, 0.9887]",0.7862163536300395
"(0.9887, 0.989]",0.4151079889817551
"(0.989, 0.9892]",0.8523224006140839
"(0.9892, 0.9895]",2.0720415651748323
"(0.9895, 0.9897]",1.1547286036006383
"(0.9897, 0.99]",1.6178234462471464
"(0.99, 0.9902]",1.1044350248341572
"(0.9902, 0.9905]",1.7031345258486221
"(0.9905, 0.9907]",1.4068793523465715
"(0.9907, 0.991]",1.2611185035588024
"(0.991, 0.9912]",1.4020809877370097
"(0.9912, 0.9915]",1.9204947445147806
"(0.9915, 0.9918]",1.9306423770140784
"(0.9918, 0.992]",1.7780614842435958
"(0.992, 0.9922]",1.9086829252684239
"(0.9922, 0.9925]",2.3898174359940247
"(0.9925, 0.9928]",1.1200648373037616
"(0.9928, 0.993]",2.1049768138898575
"(0.993, 0.9932]",1.688837590483232
"(0.9932, 0.9935]",3.4149916376982796
"(0.9935, 0.9938]",3.3065287292163403
"(0.9938, 0.994]",2.8801937559145885
"(0.994, 0.9942]",3.297886879095665
"(0.9942, 0.9945]",3.2949845272347495
"(0.9945, 0.9948]",3.2717536594543883
"(0.9948, 0.995]",3.6000453989705314
"(0.995, 0.9952]",3.2439632525431286
"(0.9952, 0.9955]",3.364677131078813
"(0.9955, 0.9958]",3.960658033032369
"(0.9958, 0.996]",2.132865860550255
"(0.996, 0.9962]",4.626147045975316
"(0.9962, 0.9965]",2.7301334847366414
"(0.9965, 0.9968]",3.5549632102915574
"(0.9968, 0.997]",3.4785927771479273
"(0.997, 0.9972]",3.957860229402085
"(0.9972, 0.9975]",4.440592523216176
"(0.9975, 0.9978]",4.289027595742939
"(0.9978, 0.998]",4.069445486188384
"(0.998, 0.9982]",3.054095811304685
"(0.9982, 0.9985]",4.866468276427318
"(0.9985, 0.9988]",5.199427263706182
"(0.9988, 0.999]",4.496918382544715
"(0.999, 0.9992]",2.80549855313034
"(0.9992, 0.9995]",4.022586056502508
"(0.9995, 0.9998]",3.6979490150523198
"(0.9998, 1.0]",2.6564585132323115
"(1.0, 1.0002]",3.394609865805621
"(1.0002, 1.0005]",3.4658292403861357
"(1.0005, 1.0008]",3.344455713298987
"(1.0008, 1.001]",1.9602777591427683
"(1.001, 1.0012]",3.2429571799095624
"(1.0012, 1.0015]",2.7397282256227675
"(1.0015, 1.0018]",3.2574631143077446
"(1.0018, 1.002]",3.8422617164189554
"(1.002, 1.0022]",3.789611123293564
"(1.0022, 1.0025]",4.023058285024785
"(1.0025, 1.0028]",5.419704142992881
"(1.0028, 1.003]",3.103323812297787
"(1.003, 1.0032]",3.483708124815456
"(1.0032, 1.0035]",3.645660342499281
"(1.0035, 1.0038]",4.211247880960154
"(1.0038, 1.004]",3.3320248558518566
"(1.004, 1.0042]",2.969664553320876
"(1.0042, 1.0045]",3.633751995046388
"(1.0045, 1.0048]",4.148354150644884
"(1.0048, 1.005]",1.9037793325347412
"(1.005, 1.0052]",1.7217776595647472
"(1.0052, 1.0055]",1.7609204863815417
"(1.0055, 1.0058]",1.589631246104173
"(1.0058, 1.006]",2.411871166262986
"(1.006, 1.0062]",1.8305605484522793
"(1.0062, 1.0065]",1.7620876522630167
"(1.0065, 1.0068]",1.4863841847099324
"(1.0068, 1.007]",0.9082639611679431
"(1.007, 1.0072]",1.4003699076639604
"(1.0072, 1.0075]",1.1630179951575066
"(1.0075, 1.0078]",0.8385469874710285
"(1.0078, 1.008]",1.1367006366732448
"(1.008, 1.0082]",1.4356032098832316
"(1.0082, 1.0085]",1.043696252447599
"(1.0085, 1.0088]",1.142989226840466
"(1.0088, 1.009]",0.6974548026510213
"(1.009, 1.0092]",0.7948665549965922
"(1.0092, 1.0095]",1.3246415485169816
"(1.0095, 1.0098]",0.8955953017476634
"(1.0098, 1.01]",2.268417067216902
"(1.01, 1.0102]",0.5033646083432683
"(1.0102, 1.0105]",0.5179195561201551
"(1.0105, 1.0108]",0.4832974621152457
"(1.0108, 1.011]",0.8293538877057358
"(1.011, 1.0112]",0.6175537548573178
"(1.0112, 1.0115]",0.5032661700234138
"(1.0115, 1.0118]",0.40345453857240565
"(1.0118, 1.012]",0.6553602899882822
"(1.012, 1.0122]",0.6363684391456197
"(1.0122, 1.0125]",0.0
"(1.0125, 1.0128]",0.0979166884324562
"(1.0128, 1.013]",0.5470087796805658
"(1.013, 1.0132]",0.09914959547096008
"(1.0132, 1.0135]",0.0
"(1.0135, 1.0138]",0.09278746653865788
"(1.0138, 1.014]",0.46571707284748676
"(1.014, 1.0142]",0.22517987914929838
"(1.0142, 1.0145]",0.199666353522006
"(1.0145, 1.0147]",0.2738370691632655
"(1.0147, 1.015]",0.35723033629568485
"(1.015, 1.0152]",0.5746184112331518
"(1.0152, 1.0155]",0.5048306113872784
"(1.0155, 1.0158]",0.1935530788865924
"(1.0158, 1.016]",0.2582852093105983
"(1.016, 1.0162]",0.26369072845529956
"(1.0162, 1.0165]",0.5451479675105819
"(1.0165, 1.0167]",0.09410614350251549
"(1.0167, 1.017]",0.0
"(1.017, 1.0172]",0.0
"(1.0172, 1.0175]",0.0
"(1.0175, 1.0178]",0.0
"(1.0178, 1.018]",0.09334426460821234
"(1.018, 1.0182]",0.3202386359532857
"(1.0182, 1.0185]",0.0767411830559116
"(1.0185, 1.0187]",0.0
"(1.0187, 1.019]",0.3584804016322218
"(1.019, 1.0192]",0.0
"(1.0192, 1.0195]",0.0
"(1.0195, 1.0198]",0.08214471538993613
"(1.0198, 1.02]",0.12204432800050549
"(1.02, 1.0202]",0.09029815283896224
"(1.0202, 1.0205]",0.0
"(1.0205, 1.0207]",0.12204432800050549
"(1.0207, 1.021]",0.24408865600101098
"(1.021, 1.0212]",0.0
"(1.0212, 1.0215]",0.0
"(1.0215, 1.0218]",0.0
"(1.0218, 1.022]",0.12204432800050549
"(1.022, 1.0222]",0.12776527546070096
"(1.0222, 1.0225]",0.0
"(1.0225, 1.0227]",0.0
"(1.0227, 1.023]",0.24408865600101098
"(1.023, 1.0232]",0.08263327927990857
"(1.0232, 1.0235]",0.12204432800050549
"(1.0235, 1.0238]",0.16526655855981714
"(1.0238, 1.024]",0.0
"(1.024, 1.0242]",0.08263327927990857
"(1.0242, 1.0245]",0.0
"(1.0245, 1.0247]",0.0
"(1.0247, 1.025]",0.0
