,thrd_pt,normal,yield
"(0.975, 0.9752]",2.9220027426066415,0.0,0.0
"(0.9752, 0.9755]",2.9220027426066415,0.0,0.0
"(0.9755, 0.9758]",2.9220027426066415,0.0,0.0
"(0.9758, 0.976]",2.9220027426066415,0.0,0.0
"(0.976, 0.9762]",2.9220027426066415,0.0,0.0
"(0.9762, 0.9765]",2.9220027426066415,0.0,0.0
"(0.9765, 0.9768]",2.9220027426066415,0.07698753872521902,0.3221165482584701
"(0.9768, 0.977]",2.9220027426066415,0.19246884681304752,0.8052913706461751
"(0.977, 0.9772]",2.9220027426066415,0.23096261617565705,0.9663496447754102
"(0.9772, 0.9775]",2.9220027426066415,0.2502095008569618,1.0468787818400278
"(0.9775, 0.9778]",2.9220027426066415,0.15397507745043804,0.6442330965169402
"(0.9778, 0.978]",2.9220027426066415,0.30795015490087607,1.2884661930338803
"(0.978, 0.9782]",2.9220027426066415,0.32719703958218077,1.3689953300984976
"(0.9782, 0.9785]",2.9220027426066415,0.40418457830739984,1.6911118783569679
"(0.9785, 0.9788]",2.9220027426066415,0.538912771076533,2.2548158378092897
"(0.9788, 0.979]",2.9220027426066415,0.40418457830739984,1.6911118783569679
"(0.979, 0.9792]",2.9220027426066415,0.5004190017139236,2.0937575636800556
"(0.9792, 0.9795]",2.9220027426066415,0.7698753872521901,3.2211654825847003
"(0.9795, 0.9798]",2.9220027426066415,0.6159003098017521,2.5769323860677606
"(0.9798, 0.98]",2.9220027426066415,0.7698753872521901,3.2211654825847003
"(0.98, 0.9802]",2.9220027426066415,0.9238504647026282,3.8653985791016408
"(0.9802, 0.9805]",2.9220027426066415,0.5966534251204474,2.496403249003143
"(0.9805, 0.9808]",2.9220027426066415,1.251047504284809,5.234393909200139
"(0.9808, 0.981]",2.9220027426066415,1.308788158328723,5.47598132039399
"(0.981, 0.9812]",2.9220027426066415,1.3472819276913326,5.637039594523225
"(0.9812, 0.9815]",2.922350795631634,1.6552320825922089,6.924680957340772
"(0.9815, 0.9818]",2.932148978713687,1.4627632357791613,6.09903638641162
"(0.9818, 0.982]",3.00463602188655,1.6359851979109041,6.656726605194338
"(0.982, 0.9822]",2.9951815405298805,1.732219621317428,7.070547162521482
"(0.9822, 0.9825]",2.975212780615311,1.7514665059987327,7.1970915295558715
"(0.9825, 0.9828]",3.0073916825826346,1.7707133906800372,7.19832577403577
"(0.9828, 0.983]",3.2743490415905634,2.155651084306132,8.048718054750985
"(0.983, 0.9832]",3.8793715315856305,2.3673668158004846,7.460662626908757
"(0.9832, 0.9835]",3.833682835341384,2.5405887779322276,8.101984637206389
"(0.9835, 0.9838]",3.7878231701601743,2.4443543545257036,7.8894674583716755
"(0.9838, 0.984]",3.8645271234639123,2.9255264715583227,9.255095249803826
"(0.984, 0.9842]",3.7237030711624493,2.636823201338751,8.657234644277617
"(0.9842, 0.9845]",3.513973179417439,3.464439242634856,12.053348879652619
"(0.9845, 0.9848]",3.5842018675121983,3.4836861273161603,11.882827089252428
"(0.9848, 0.985]",3.6430104766345672,3.5991674354039893,12.078551374754213
"(0.985, 0.9852]",3.4871851527963216,3.8108831668983414,13.360534962253507
"(0.9852, 0.9855]",3.6221029419932194,3.984105129030084,13.447551648337663
"(0.9855, 0.9858]",4.2234936937938015,4.272808399249655,12.36843607822807
"(0.9858, 0.986]",4.3905783108418905,4.446030361381398,12.380093273482311
"(0.986, 0.9862]",4.276070927046958,4.542264784787922,12.986758582116002
"(0.9862, 0.9865]",4.7848121306839335,5.523855903534464,14.114018124971032
"(0.9865, 0.9868]",4.756649688297238,5.158165094589674,13.257672614470028
"(0.9868, 0.987]",4.5223835846915446,5.543102788215769,14.985069317387213
"(0.987, 0.9872]",4.966717039910419,6.1397562133362165,15.11314778625078
"(0.9872, 0.9875]",5.173223099280587,6.389965714193178,15.101168035693915
"(0.9875, 0.9877]",5.291181205431769,6.659422099731445,15.387112476107603
"(0.9877, 0.988]",6.0495359928909735,7.544778795071464,15.247465752500288
"(0.988, 0.9882]",5.853493619926242,6.601681445687531,13.788360678588143
"(0.9882, 0.9885]",5.606452350051417,8.21841975891713,17.921460698206243
"(0.9885, 0.9887]",5.6794403516454075,8.526369913818007,18.354047360918855
"(0.9887, 0.989]",5.555591262843231,8.410888605730177,18.509079263835634
"(0.989, 0.9892]",5.722689289212003,8.622604337224528,18.420928285089868
"(0.9892, 0.9895]",6.993255134408447,9.02678891553193,15.780731636409127
"(0.9895, 0.9897]",7.2045483812163145,9.75817053342151,16.559028808503353
"(0.9897, 0.99]",7.57914037751263,10.1238613423663,16.330499088252246
"(0.99, 0.9902]",7.673730926129815,10.431811497267176,16.619822613304542
"(0.9902, 0.9905]",8.045293057564706,11.086205576431539,16.846678178539882
"(0.9905, 0.9907]",7.848426362902261,11.451896385376328,17.838898824674605
"(0.9907, 0.991]",7.85741471256857,11.124699345794149,17.309392552998958
"(0.991, 0.9912]",7.963969185697962,11.586624578145463,17.7869131626789
"(0.9912, 0.9915]",8.577520917215066,12.933906505836795,18.434915521369472
"(0.9915, 0.9918]",8.914894312015363,12.856918967111577,17.631689457309434
"(0.9918, 0.992]",9.049200902531185,12.587462581573309,17.005961153991844
"(0.992, 0.9922]",9.319195598927283,13.010894044562015,17.068758482480987
"(0.9922, 0.9925]",9.707609598364922,13.280350430100281,16.72516661439623
"(0.9925, 0.9928]",9.210268761558043,14.05022581735247,18.650231256184306
"(0.9928, 0.993]",9.729960178304509,13.222609776056366,16.614196350210236
"(0.993, 0.9932]",10.143457949145285,14.08871958671508,16.980822113814412
"(0.9932, 0.9935]",11.6983125645987,13.992485163308556,14.62328197438178
"(0.9935, 0.9938]",12.549472368136751,15.089557590142928,14.700234426480202
"(0.9938, 0.994]",13.156048092760807,14.954829397373794,13.897261543556755
"(0.994, 0.9942]",13.774241819929104,14.916335628011185,13.239380496582678
"(0.9942, 0.9945]",14.347081432525021,15.436001514406412,13.15359511244921
"(0.9945, 0.9948]",14.438372115338117,15.474495283769022,13.103022377884372
"(0.9948, 0.995]",14.675323328028005,15.782445438669898,13.14800433110633
"(0.995, 0.9952]",14.692929593633636,16.860270980822964,14.029085859835298
"(0.9952, 0.9955]",14.774239577224394,15.974914285482948,13.219244026068177
"(0.9955, 0.9958]",15.051711053131928,16.95650540422949,13.772846280840511
