,bidNtceNo,bidNtceOrd,bidClsfcNo,bidNtceNm,bssamt,bssamtOpenDt,rsrvtnPrceRngBgnRate,rsrvtnPrceRngEndRate,evlBssAmt,dfcltydgrCfcnt,etcGnrlexpnsBssRate,gnrlMngcstBssRate,prftBssRate,lbrcstBssRate,rmrk1,rmrk2,usefulAmt,inptDt,bssAmtPurcnstcst,opengDt,bidNtceDtlUrl,sumA
0,20241101719,00,0,인천남촌초 천장설치공사(계속비),564575000,2024-11-04 13:49:55,-3,+3,0,,,,,,,,,2024-11-04 13:49:55,498082126,2024-11-12 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241101719&bidseq=00&releaseYn=Y&taskClCd=3,22438038
1,20241103251,00,0,용마초 천장설치공사(계속비),511456000,2024-11-05 16:33:48,-3,+3,0,,,,,,,,,2024-11-05 16:33:48,445358508,2024-11-13 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241103251&bidseq=00&releaseYn=Y&taskClCd=3,19871092
2,20241111800,00,0,인천고잔고 고교학점제 학교공간조성 공사(계속비),809490000,2024-11-11 10:54:14,-3,+3,0,,,,,,,,,2024-11-11 10:54:14,702872649,2024-11-19 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241111800&bidseq=00&releaseYn=Y&taskClCd=3,37606904
3,20241116907,00,0,연수고 고교학점제 학교공간 조성공사(계속비),852643000,2024-11-13 15:04:14,-3,+3,0,,,,,,,,,2024-11-13 15:04:14,607456787,2024-11-21 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241116907&bidseq=00&releaseYn=Y&taskClCd=3,32788844
4,20241116953,00,0,인천남동고 고교학점제 학교공간 조성공사(계속비),622193000,2024-11-13 15:05:50,-3,+3,0,,,,,,,,,2024-11-13 15:05:50,386574438,2024-11-21 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241116953&bidseq=00&releaseYn=Y&taskClCd=3,24375834
5,20241118413,00,0,인천과학고 고교학점제 학교공간조성공사(계속비),575707000,2024-11-14 10:53:28,-3,+3,0,,,,,,,,,2024-11-14 10:53:28,497156235,2024-11-20 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241118413&bidseq=00&releaseYn=Y&taskClCd=3,18512709
6,20241118818,00,0,인천국제고 고교학점제 학교공간조성공사(계속비),642950000,2024-11-14 13:35:04,-3,+3,0,,,,,,,,,2024-11-14 13:35:04,561573760,2024-11-20 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241118818&bidseq=00&releaseYn=Y&taskClCd=3,29779285
7,20241124725,00,0,강화고 고교학점제 학교환경 조성공사(계속비),763830000,2024-11-19 14:22:01,-3,+3,0,,,,,,,,,2024-11-19 14:22:01,661832958,2024-11-27 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241124725&bidseq=00&releaseYn=Y&taskClCd=3,37929867
8,20241126017,01,0,[긴급]세일고 고교학점제(교과교실제)학교 공간조성 건축공사,774609000,2024-11-22 10:34:28,-3,+3,0,,,,,,,,,2024-11-22 10:34:28,675582844,2024-11-28 15:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241126017&bidseq=01&releaseYn=Y&taskClCd=3,32071907
9,20241124820,00,0,(긴급)인천심곡초등학교 천장설치공사(계속비) 입찰공고,534181000,2024-11-19 15:54:07,-3,+3,0,,,,,,,,,2024-11-19 15:54:07,468342590,2024-11-25 11:00:00,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20241124820&bidseq=00&releaseYn=Y&taskClCd=3,21273434
