,bidNtceNo,bidNtceOrd,lmtGrpNo,lmtSno,lcnsLmtNm,permsnIndstrytyList,indstrytyMfrcFldList,rgstDt,d2bMngDmndYear,d2bMngCnstwkNo,bsnsDivNm
0,20241101719,00,1,1,금속창호ㆍ지붕건축물조립공사업/4991,,,2024-11-04 13:35:10,,,공사
1,20241101719,00,1,2,실내건축공사업,,,2024-11-04 13:35:10,,,공사
2,20241101719,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-04 13:35:10,,,공사
3,20241103251,00,1,2,금속창호ㆍ지붕건축물조립공사업/4991,,,2024-11-05 16:32:51,,,공사
4,20241103251,00,1,1,실내건축공사업,,,2024-11-05 16:32:51,,,공사
5,20241103251,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-05 16:32:51,,,공사
6,20241111800,00,1,1,실내건축공사업,,[1^실내건축공사],2024-11-11 10:48:38,,,공사
7,20241111800,00,1,2,도장ㆍ습식ㆍ방수ㆍ석공사업/4992,,,2024-11-11 10:48:38,,,공사
8,20241111800,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-11 10:48:38,,,공사
9,20241116907,00,1,2,도장ㆍ습식ㆍ방수ㆍ석공사업/4992,,,2024-11-13 15:00:05,,,공사
10,20241116907,00,1,1,실내건축공사업,,,2024-11-13 15:00:05,,,공사
11,20241116907,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-13 15:00:05,,,공사
12,20241116953,00,1,1,실내건축공사업,,,2024-11-13 15:02:15,,,공사
13,20241116953,00,1,2,도장ㆍ습식ㆍ방수ㆍ석공사업/4992,,,2024-11-13 15:02:15,,,공사
14,20241116953,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-13 15:02:15,,,공사
15,20241118413,00,1,1,실내건축공사업,,[1^실내건축공사],2024-11-14 10:51:14,,,공사
16,20241118413,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-14 10:51:14,,,공사
17,20241118818,00,1,1,실내건축공사업,,[1^실내건축공사],2024-11-14 13:32:12,,,공사
18,20241118818,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-14 13:32:12,,,공사
19,20241124725,00,1,1,실내건축공사업,,[1^실내건축공사],2024-11-19 14:20:43,,,공사
20,20241124725,00,1,2,금속창호ㆍ지붕건축물조립공사업/4991,,[1^지붕판금·건축물조립공사],2024-11-19 14:20:43,,,공사
21,20241124725,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-19 14:20:43,,,공사
22,20241126017,01,1,1,실내건축공사업,,,2024-11-22 10:34:28,,,공사
23,20241126017,01,2,1,건축공사업,[토목건축공사업/0003],,2024-11-22 10:34:28,,,공사
24,20241124820,00,1,2,금속창호ㆍ지붕건축물조립공사업/4991,,,2024-11-19 15:25:45,,,공사
25,20241124820,00,1,1,실내건축공사업,,,2024-11-19 15:25:45,,,공사
26,20241124820,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-19 15:25:45,,,공사
27,20241126775,00,1,1,실내건축공사업,,,2024-11-19 19:44:27,,,공사
28,20241126775,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-19 19:44:27,,,공사
29,20241131050,00,1,1,실내건축공사업,,,2024-11-21 17:36:56,,,공사
30,20241131050,00,1,2,도장ㆍ습식ㆍ방수ㆍ석공사업/4992,,,2024-11-21 17:36:56,,,공사
31,20241131050,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-21 17:36:56,,,공사
32,20241135032,00,1,2,도장ㆍ습식ㆍ방수ㆍ석공사업/4992,,,2024-11-25 15:34:18,,,공사
33,20241135032,00,1,1,실내건축공사업,,,2024-11-25 15:34:18,,,공사
34,20241135032,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-25 15:34:18,,,공사
35,20241135099,00,1,1,실내건축공사업,,,2024-11-25 15:37:29,,,공사
36,20241135099,00,1,2,도장ㆍ습식ㆍ방수ㆍ석공사업/4992,,,2024-11-25 15:37:29,,,공사
37,20241135099,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-25 15:37:29,,,공사
38,20241135132,00,1,2,도장ㆍ습식ㆍ방수ㆍ석공사업/4992,,,2024-11-25 15:40:18,,,공사
39,20241135132,00,1,1,실내건축공사업,,,2024-11-25 15:40:18,,,공사
40,20241135132,00,2,1,건축공사업,[토목건축공사업/0003],,2024-11-25 15:40:18,,,공사
